
2024/04/25 (11:28:51) | ===> btop++ v.1.3.2
2024/04/25 (11:28:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/12 (22:09:01) | ===> btop++ v.1.3.2
2024/05/12 (22:09:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/12 (22:11:16) | ===> btop++ v.1.3.2
2024/05/12 (22:11:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (18:28:17) | ===> btop++ v.1.3.2
2024/05/18 (18:28:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (18:47:11) | ===> btop++ v.1.3.2
2024/05/18 (18:47:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (18:47:34) | ===> btop++ v.1.3.2
2024/05/18 (18:47:34) | WARNING: Failed to set locale UTF-8 continuing anyway.
